Level,Tier,Category,Field,DataType,Availability,CustomerIO,HubSpot,PostHog,WriteRule,Phase,Notes
Contact,0,Technical,contact_key,STRING,A,N,N,N,internal,,Internal warehouse key; not synced
Contact,1,Identity,unified_contact_id,STRING,A,Y,Y,Y,always,,Warehouse-native ID; enables cross-destination joins
Contact,1,Identity,email,STRING,A,Y,Y,Y,lookup_key,,Upsert key; never overwritten
Contact,1,Identity,first_name,STRING,A,Y,Y,Y,append_if_null,,
Contact,1,Identity,last_name,STRING,A,Y,Y,Y,append_if_null,,
Contact,1,Identity,full_name,STRING,A,Y,Y,Y,append_if_null,,Derived concat(first_name last_name)
Contact,1,Identity,phone,STRING,A,Y,Y,N,append_if_null,,Raw phone
Contact,1,Identity,phone_e164,STRING,B,Y,Y,N,append_if_null,,Standardised E.164 form; derive from phone
Contact,1,Identity,linkedin_url,STRING,A,Y,Y,Y,append_if_null,,
Contact,1,Identity,gender,STRING,C,Y,Y,Y,append_if_null,,Needs form capture going forward
Contact,2,Role,user_type,ENUM,B,Y,Y,Y,always,,Startup Leader / Operator / Investor / Govt / Other
Contact,2,Role,user_sub_type,ENUM,B,Y,Y,Y,always,,Founder / CEO / VC Partner / etc.
Contact,2,Role,seniority,STRING,A,Y,Y,Y,always,,Existing column; from Datalabs or designation
Contact,2,Role,seniority_level,ENUM,B,Y,Y,Y,always,,IC / Manager / Director / VP / CXO / Founder
Contact,2,Role,job_function,STRING,A,Y,Y,Y,always,,Existing column from Datalabs
Contact,2,Role,function,ENUM,B,Y,Y,Y,always,,Engineering / Product / Marketing / Sales / Finance / Ops / Legal / Other
Contact,2,Role,designation,STRING,A,Y,Y,Y,append_if_null,,Job title raw
Contact,2,Role,is_founder,BOOL,B,Y,Y,Y,always,,Historical ever-founded a company
Contact,2,Role,is_investor,BOOL,A,Y,Y,Y,always,,Existing column; derived from Datalabs
Contact,2,Role,is_angel_investor,BOOL,B,Y,Y,Y,always,,Side-investor even if day job is other
Contact,3,Location,city,STRING,A,Y,Y,Y,append_if_null,,
Contact,3,Location,state,STRING,A,Y,Y,Y,append_if_null,,
Contact,3,Location,country,STRING,A,Y,Y,Y,append_if_null,,
Contact,3,Location,timezone,STRING,B,Y,Y,Y,append_if_null,,Derive from city/state
Contact,3,Location,hometown_city,STRING,C,N,N,N,append_if_null,,Rarely captured; low priority
Contact,3,Location,is_nri,BOOL,B,Y,Y,Y,always,,Non-Resident Indian — signal from address/phone country
Contact,4,Career,total_years_experience,INTEGER,B,Y,Y,Y,append_if_null,,Derive from Datalabs people_experience start_dates
Contact,4,Career,time_at_current_company,INTEGER,B,Y,Y,Y,append_if_null,,Months at current role from Datalabs
Contact,4,Career,previous_companies,ARRAY,B,Y,Y,Y,append_if_null,,From Datalabs people_experience history
Contact,4,Career,previous_roles,ARRAY,B,Y,Y,Y,append_if_null,,From Datalabs people_experience history
Contact,5,Education,dl_education_institution,STRING,A,Y,Y,Y,append_if_null,,Existing column latest education
Contact,5,Education,dl_education_degree,STRING,A,Y,Y,Y,append_if_null,,
Contact,5,Education,dl_education_specialisation,STRING,A,Y,Y,Y,append_if_null,,
Contact,5,Education,alma_mater,STRING,B,Y,Y,Y,append_if_null,,Cleaned version of dl_education_institution
Contact,5,Education,alma_mater_tier,ENUM,B,Y,Y,Y,always,,IIT / IIM / ISB / BITS / NIT / Global-top / Other
Contact,5,Education,highest_degree,ENUM,B,Y,Y,Y,append_if_null,,Bachelors / Masters / PhD / MBA / CA
Contact,5,Education,graduation_year,INTEGER,B,Y,Y,Y,append_if_null,,From Datalabs
Contact,5,Education,is_iit_alumni,BOOL,A,Y,Y,Y,always,,Existing
Contact,5,Education,is_iim_alumni,BOOL,A,Y,Y,Y,always,,Existing
Contact,5,Education,is_isb_alumni,BOOL,A,Y,Y,Y,always,,Existing
Contact,5,Education,is_bits_alumni,BOOL,A,Y,Y,Y,always,,Existing
Contact,5,Education,is_nmims_alumni,BOOL,A,Y,Y,Y,always,,Existing
Contact,5,Education,is_global_top_alumni,BOOL,A,Y,Y,Y,always,,Existing Harvard/Stanford/MIT etc.
Contact,5,Education,is_premier_institute_alumni,BOOL,A,Y,Y,Y,always,,Existing rollup
Contact,6,FounderHistory,ventures_founded,ARRAY,B,Y,Y,Y,append_if_null,,Companies this person founded
Contact,6,FounderHistory,ventures_founded_count,INTEGER,B,Y,Y,Y,always,,
Contact,6,FounderHistory,exits_count,INTEGER,B,Y,Y,Y,always,,Successful exits from Datalabs
Contact,6,FounderHistory,has_exited,BOOL,B,Y,Y,Y,always,,
Contact,7,InvestorSpecific,person_investments_made,INTEGER,A,Y,Y,Y,always,,Existing count of fundings they participated in
Contact,7,InvestorSpecific,person_portfolio_companies,ARRAY,A,Y,Y,Y,always,,Existing portfolio list
Contact,7,InvestorSpecific,thesis_sectors,ARRAY,B,Y,Y,Y,always,,Sectors they invest in; derive from portfolio sectors
Contact,8,Inc42Relationship,dl_person_id,STRING,A,N,Y,N,internal,,Datalabs person_uuid — internal mapping
Contact,8,Inc42Relationship,dl_person_description,STRING,A,N,Y,N,append_if_null,,Long-form bio from Datalabs
Contact,8,Inc42Relationship,speaker_at_inc42_event,BOOL,B,Y,Y,Y,always,,Derive from event_attendance where role=speaker
Contact,8,Inc42Relationship,is_founder_alumni,BOOL,B,Y,Y,Y,always,,Attended an Inc42 founder program FAST42 etc.
